,autor,libro,metaTL,poema,fragmento,destinatario,texto,AA#1-Espasa(1989)-Roman num.,AA#2-Espasa(1989)-Arabian num.,MM#1-Etc.,MM#2-Etc.,,,,,,,
50111,Antonio Machado,01-Soledades (1899-1907),,Yo voy soñando caminos,,,"Yo voy soñando caminos 
de la tarde. ¡Las colinas 
doradas, los verdes pinos, 
las polvorientas encinas!... 

¿Adónde el camino irá? 
Yo voy cantando, viajero 
a lo largo del sendero... 
- La tarde cayendo está-. 

«En el corazón tenía 
»la espina de una pasión; 
»logré arrancármela un día: 
»ya no siento el corazón.» 

Y todo el campo un momento 
se queda, mudo y sombrío, 
meditando. Suena el viento 
en los álamos del río. 

La tarde más se oscurece; 
y el camino que serpea 
y débilmente blanquea, 
se enturbia y desaparece. 

Mi cantar vuelve a plañir: 
«Aguda espina dorada, 
»quién te pudiera sentir 
»en el corazón clavada.»",XI,11,,,,,,,,,
50112,Antonio Machado,01-Soledades (1899-1907),,"Amada, el aura dice",,,"Amada, el aura dice 
tu pura veste blanca... 
No te verán mis ojos; 
¡mi corazón te aguarda! 

El viento me ha traído 
tu nombre en la mañana; 
el eco de tus pasos 
repite la montaña... 
No te verán mis ojos; 
¡mi corazón te aguarda! 

En las sombrías torres 
repican las campanas... 
No te verán mis ojos; 
¡mi corazón te aguarda! 

Los golpes del martillo 
dicen la negra caja; 
y el sitio de la fosa, 
los golpes de la azada... 
No te verán mis ojos; 
¡mi corazón te aguarda!",XII,12,,,,,,,,,
50113,Antonio Machado,01-Soledades (1899-1907),,Hacia un ocaso radiante,,,"Hacia un ocaso radiante 
caminaba el sol de estío, 
y era, entre nubes de fuego, una trompeta gigante, 
tras de los álamos verdes de las márgenes del río. 

Dentro de un olmo sonaba la sempiterna tijera 
de la cigarra cantora, el monorritmo jovial, 
entre metal y madera, 
que es la canción estival. 

En una huerta sombría, 
giraban los cangilones de la noria soñolienta. 
Bajo las ramas oscuras el son del agua se oía. 
Era una tarde de julio, luminosa y polvorienta. 

Yo iba haciendo mi camino, 
absorto en el solitario crepúsculo campesino. 

Y pensaba: «¡Hermosa tarde, nota de la lira inmensa 
toda desdén y armonía; 
hermosa tarde, tú curas la pobre melancolía 
de este rincón vanidoso, oscuro rincón que piensa!» 

Pasaba el agua rizada bajo los ojos del puente. 
Lejos la ciudad dormía, 
como cubierta de un mago fanal de oro trasparente. 
Bajo los arcos de piedra el agua clara corría. 

Los últimos arreboles coronaban las colinas 
manchadas de olivos grises y de negruzcas encinas. 
Yo caminaba cansado, 
sintiendo la vieja angustia que hace el corazón pesado. 

El agua en sombra pasaba tan melancólicamente, 
bajo los arcos del puente, 
como si al pasar dijera: 

«Apenas desamarrada 
la pobre barca, viajero, del árbol de la ribera, 
se canta: no somos nada. 
Donde acaba el pobre río la inmensa mar nos espera.» 

Bajo los ojos del puente pasaba el agua sombría. 
(Yo pensaba: ¡el alma mía!) 

Y me detuve un momento, 
en la tarde, a meditar...

¿Qué es esta gota en el viento 
que grita al mar: soy el mar? 

Vibraba el aire asordado 
por los élitros cantores que hacen el campo sonoro, 
cual si estuviera sembrado 
de campanitas de oro. 

En el azul fulguraba 
un lucero diamantino. 
Cálido viento soplaba 
alborotando el camino. 

Yo, en la tarde polvorienta, 
hacia la ciudad volvía. 
Sonaban los cangilones de la noria soñolienta. 
Bajo las ramas oscuras caer el agua se oía.",XIII,13,,,,,,,,,
50114,Antonio Machado,01-Soledades (1899-1907),,(Cante hondo),,,"Yo meditaba absorto, devanando 
los hilos del hastío y la tristeza, 
cuando llegó a mi oído, 
por la ventana de mi estancia, abierta 

a una caliente noche de verano, 
el plañir de una copla soñolienta, 
quebrada por los trémolos sombríos 
de las músicas magas de mi tierra. 

...Y era el Amor, como una roja llama... 
-Nerviosa mano en la vibrante cuerda 
ponía un largo suspirar de oro, 
que se trocaba en surtidor de estrellas-. 

...Y era la Muerte, al hombro la cuchilla, 
el paso largo, torva y esquelética. 
-Tal cuando yo era niño la soñaba-. 

Y en la guitarra, resonante y trémula, 
la brusca mano, al golpear, fingía 
el reposar de un ataúd en tierra. 

Y era un plañido solitario el soplo 
que el polvo barre y la ceniza avienta.",XIV,14,,,,,,,,,
50115,Antonio Machado,01-Soledades (1899-1907),,La calle en sombra. Ocultan los altos caserones,,,"La calle en sombra. Ocultan los altos caserones 
el sol que muere; hay ecos de luz en los balcones. 

¿No ves, en el encanto del mirador florido, 
el óvalo rosado de un rostro conocido? 

La imagen, tras el vidrio de equívoco reflejo, 
surge o se apaga como daguerrotipo viejo. 

Suena en la calle sólo el ruido de tu paso;
se extinguen lentamente los ecos del ocaso. 

¡Oh, angustia! Pesa y duele el corazón... ¿Es ella? 
No puede ser.. Camina... En el azul, la estrella.",XV,15,,,,,,,,,
50116,Antonio Machado,01-Soledades (1899-1907),,Siempre fugitiva y siempre,,,"Siempre fugitiva y siempre 
cerca de mí, en negro manto 
mal cubierto el desdeñoso 
gesto de tu rostro pálido. 
No sé adonde vas, ni dónde 
tu virgen belleza tálamo 
busca en la noche. No sé 
qué sueños cierran tus párpados, 
ni de quién haya entreabierto 
tu lecho inhospitalario. 
............................... 

Detén el paso belleza 
esquiva, detén el paso. 
Besar quisiera la amarga, 
amarga flor de tus labios.",XVI,16,,,,,,,,,
50117,Antonio Machado,01-Soledades (1899-1907),,(Horizonte),,,"En una tarde clara y amplia como el hastío, 
cuando su lanza blande el tórrido verano, 
copiaban el fantasma de un grave sueño mío 
mil sombras en teoría, enhiestas sobre el llano. 

La gloria del ocaso era un purpúreo espejo, 
era un cristal de llamas, que al infinito viejo 
iba arrojando el grave soñar en la llanura. .. 
Y yo sentí la espuela sonora de mi paso 
repercutir lejana en el sangriento ocaso, 
y más allá, la alegre canción de un alba pura.",XVII,17,,,,,,,,,
50118,Antonio Machado,01-Soledades (1899-1907),,(El poeta),,,"Maldiciendo su destino 
como Glauco, el dios marino, 
mira, turbia la pupila 
de llanto, el mar, que le debe su blanca virgen Scyla. 

Él sabe que un Dios más fuerte 
con la sustancia inmortal está jugando a la muerte, 
cual niño bárbaro. Él piensa 
que ha de caer como rama que sobre las aguas flota, 
antes de perderse, gota 
de mar, en la mar inmensa. 

En sueños oyó el acento de una palabra divina; 
en sueños se le ha mostrado la cruda ley diamantina, 
sin odio ni amor, y el frío 
soplo del olvido sabe sobre un arenal de hastío. 

Bajo las palmeras del osis el agua buena 
miró brotar de la arena; 
y se abrevó entre las dulces gacelas, y entre los fieros 
animales carniceros... 

Y supo cuánto es la vida hecha de sed y dolor. 
Y fue compasivo para el ciervo y el cazador, 
para el ladrón y el robado, 
para el pájaro azorado, 
para el sanguinario azor. 

Con el sabio amargo dijo: Vanidad de vanidades, 
todo es negra vanidad; 
y oyó otra voz que clamaba, alma de sus soledades: 
sólo eres tú, luz que fulges en el corazón, verdad. 

Y viendo cómo lucían 
miles de blancas estrellas, 
pensaba que todas ellas 
en su corazón ardían. 
¡Noche de amor! 

Y otra noche 
sintió la mala tristeza 
que enturbia la pura llama, 
y el corazón que bosteza, 
y el histrión que declama.
Y dijo: las galerías 
del alma que espera están 
desiertas, mudas, vacías: 
las blancas sombras se van. 

Y el demonio de los sueños abrió el jardín encantado 
del ayer. ¡Cuán bello era! 
¡Qué hermosamente el pasado 
fingía la primavera, 
cuando del árbol de otoño estaba el fruto colgado, 
mísero fruto podrido, 
que en el hueco acibarado 
guarda el gusano escondido! 
¡Alma, que en vano quisiste ser más joven cada día, 
arranca tu flor, la humilde flor de la melancolía!",XVIII,18,,,,,,,,,
50119,Antonio Machado,01-Soledades (1899-1907),,¡Verdes jardinillos,,,"¡Verdes jardinillos, 
claras plazoletas, 
fuente verdinosa 
donde el agua sueña, 
donde el agua muda 
resbala en la piedra!... 

Las hojas de un verde 
mustio, casi negras, 
de la acacia, el viento 
de septiembre besa, 
y se lleva algunas 
amarillas, secas, 
jugando, entre el polvo 
blanco de la tierra. 

Linda doncellita, 
que el cántaro llenas 
de agua transparente, 
tú, al verme, no llevas 
a los negros bucles 
de tu cabellera, 
distraídamente, 
la mano morena, 
ni, luego, en el limpio 
cristal te contemplas... 

Tú miras al aire 
de la tarde bella, 
mientras de agua clara 
el cántaro llenas.",XIX,19,,,,,,,,,
50120,Antonio Machado,01-Soledades (1899-1907),Del camino,(Preludio),,,"Mientras la sombra pasa de un santo amor, hoy quiero 
poner un dulce salmo sobre mi viejo atril. 
Acordaré las notas del órgano severo 
al suspirar fragante del pífano de abril. 

Madurarán su aroma las pomas otoñales, 
la mirra y el incienso salmodiarán su olor; 
exhalarán su fresco perfume los rosales, 
bajo la paz en sombra del tibio huerto en flor. 

Al grave acorde lento de música y aroma, 
la sola y vieja y noble razón de mi rezar 
levantará su vuelo süave de paloma, 
y la palabra blanca se elevará al altar.",XX,20,,,,,,,,,
50121,Antonio Machado,01-Soledades (1899-1907),Del camino,Daba el reloj las doce... y eran doce,,,"Daba el reloj las doce... y eran doce 
golpes de azada en tierra... 

... ¡Mi hora! —grité—... El silencio 
me respondió: —No temas; 
tú no verás caer la última gota 
que en la clepsidra tiembla. 

Dormirás muchas horas todavía 
sobre la orilla vieja, 
y encontrarás una mañana pura 
amarrada tu barca a otra ribera.",XXI,21,,,,,,,,,
50122,Antonio Machado,01-Soledades (1899-1907),Del camino,Sobre la tierra amarga,,,"Sobre la tierra amarga, 
caminos tiene el sueño 
laberínticos, sendas tortuosas, 
parques en flor y en sombra y en silencio; 

criptas hondas, escalas sobre estrellas; 
retablos de esperanzas y recuerdos. 
Figurillas que pasan y sonríen 
—juguetes melancólicos de viejo—; 

imágenes amigas, 
a la vuelta florida del sendero, 
y quimeras rosadas 
que hacen camino... lejos..",XXII,22,,,,,,,,,
50123,Antonio Machado,01-Soledades (1899-1907),Del camino,En la desnuda tierra del camino,,,"En la desnuda tierra del camino 
la hora florida brota, 
espino solitario, 
del valle humilde en la revuelta umbrosa. 

El salmo verdadero 
de tenue voz hoy torna 
al corazón, y al labio, 
la palabra quebrada y temblorosa. 

Mis viejos mares duermen; se apagaron 
sus espumas sonoras 
sobre la playa estéril. La tormenta 
camina lejos en la nube torva. 

Vuelve la paz al cielo; 
la brisa tutelar esparce aromas 
otra vez sobre el campo, y aparece, 
en la bendita soledad, tu sombra.",XXIII,23,,,,,,,,,
50124,Antonio Machado,01-Soledades (1899-1907),Del camino,El sol es un globo de fuego,,,"El sol es un globo de fuego, 
la luna es un disco morado. 

Una blanca paloma se posa 
en el alto ciprés centenario. 

Los cuadros de mirtos parecen 
de marchito velludo empolvado. 

¡El jardín y la tarde tranquila!... 
Suena el agua en la fuente de mármol.",XXIV,24,,,,,,,,,
50125,Antonio Machado,01-Soledades (1899-1907),Del camino,¡Tenue rumor de túnicas que pasan,,,"¡Tenue rumor de túnicas que pasan 
sobre la infértil tierra! ... 
¡Y lágrimas sonoras 
de las campanas viejas! 

Las ascuas mortecinas 
del horizonte humean... 
Blancos fantasmas lares 
van encendiendo estrellas. 

—Abre el balcón. La hora 
de una ilusión se acerca.. 
La tarde se ha dormido, 
y las campanas sueñan.",XXV,25,,,,,,,,,
50126,Antonio Machado,01-Soledades (1899-1907),Del camino,"¡Oh. figuras del atrio, más humildes",,,"¡Oh figuras del atrio, más humildes 
cada día y lejanas: 
mendigos harapientos 
sobre marmóreas gradas; 
miserables ungidos 
de eternidades santas, 
manos que surgen de los mantos viejos 
y de las rotas capas! 
¿Pasó por vuestro lado 
una ilusión velada, 
de la mañana luminosa y fría 
en las horas más plácidas?... 
Sobre la negra túnica, su mano 
era una rosa blanca...",XXVI,26,,,,,,,,,
50127,Antonio Machado,01-Soledades (1899-1907),Del camino,La tarde todavía,,,"La tarde todavía 
dará incienso de oro a tu plegaria, 
y quizás el cenit de un nuevo día 
amenguará tu sombra solitaria. 
Mas no es tu fiesta el Ultramar lejano, 
sino la ermita junto al manso río; 
no tu sandalia el soñoliento llano 
pisará, en la arena del hastío. 
Muy cerca está, romero, 
la tierra verde y santa y florecida 
de tus sueños; muy cerca, peregrino 
que desdeñas la sombra del sendero 
y el agua del mesón en tu camino.",XXVII,27,,,,,,,,,
50128,Antonio Machado,01-Soledades (1899-1907),Del camino,Crear fiestas de amores,,,"Crear fiestas de amores 
en nuestro amor pensamos, 
quemar nuevos aromas 
en montes no pisados, 

y guardar el secreto 
de nuestros rostros pálidos, 
porque en las bacanales de la vida 
vacías nuestras copas conservamos, 

mientras con eco de cristal y espuma 
ríen los zumos de la vid dorados. 
.....................................................................

Un pájaro escondido entre las ramas 
del parque solitario,
silba burlón... 

Nosotros exprimimos 
la penumbra de un sueño en nuestro vaso... 
Y algo, que es tierra en nuestra carne, siente 
la humedad del jardín como un halago.",XXVIII,28,,,,,,,,,
50129,Antonio Machado,01-Soledades (1899-1907),Del camino,"Arde en tus ojos un misterio, virgen",,,"Arde en tus ojos un misterio, virgen 
esquiva y compañera. 

No sé si es odio o es amor la lumbre 
inagotable de tu aljaba negra. 

Conmigo irás mientras proyecte sombra 
mi cuerpo y quede a mi sandalia arena. 

—¿Eres la sed o el agua en mi camino? 
Dime, virgen esquiva y compañera.",XXIX,29,,,,,,,,,
50130,Antonio Machado,01-Soledades (1899-1907),Del camino,Algunos lienzos del recuerdo tienen,,,"Algunos lienzos del recuerdo tienen 
luz de jardín y soledad de campo; 
la placidez del sueño vive
en el paisaje familiar soñado. 

Otros guardan las fiestas 
de días aun lejanos; 
figuras sutiles 
que pone un titerero en su retablo... 
..................................... 

Ante el balcón florido,
está la cita de un amor amargo. 

Brilla la tarde en el resol bermejo... 
La hiedra efunde de los muros blancos... 

A la revuelta de una calle en sombra, 
un fantasma irrisorio besa un nardo.",XXX,30,,,,,,,,,
50131,Antonio Machado,01-Soledades (1899-1907),Del camino,Crece en la plaza en sombra,,,"Crece en la plaza en sombra 
el musgo, y en la piedra vieja y santa 
de la iglesia. En el atrio hay un mendigo... 
Más vieja que la iglesia tiene el alma. 

Sube muy lento, en las mañanas frías, 
por la marmórea grada, 
hasta un rincón de piedra... Allí aparece 
su mano seca entre la rota capa. 

Con las órbitas huecas de sus ojos 
ha visto cómo pasan 
las blancas sombras, en los claros días, 
las blancas sombras de las horas santas.",XXXI,31,,,,,,,,,
50132,Antonio Machado,01-Soledades (1899-1907),Del camino,Las ascuas de un crepúsculo morado,,,"Las ascuas de un crepúsculo morado 
detrás del negro cipresal humean... 
En la glorieta en sombra está la fuente... 
con su alado y desnudo Amor de piedra, 
que sueña mudo. En la marmórea taza 
reposa el agua muerta.",XXXII,32,,,,,,,,,
50133,Antonio Machado,01-Soledades (1899-1907),Del camino,"¿Mi amor?... ¿Recuerdas, dime",,,"¿Mi amor?... ¿Recuerdas, dime, 
aquellos juncos tiernos, 
lánguidos y amarillos 
que hay en el cauce seco?... 

¿Recuerdas la amapola 
que calcinó el verano, 
la amapola marchita, 
negro crespón del campo? ... 

¿Te acuerdas del sol yerto 
y humilde, en la mañana, 
que brilla y tiembla roto 
sobre una fuerte helada? ...",XXXIII,33,,,,,,,,,
50134,Antonio Machado,01-Soledades (1899-1907),Del camino,Me dijo un alba de la primavera,,,"Me dijo un alba de la primavera: 
Yo florecí en tu corazón sombrío 
ha muchos años, caminante viejo 
que no cortas las flores del camino. 

Tu corazón de sombra, ¿acaso guarda 
el viejo aroma de mis viejos lirios? 
¿Perfuman aún mis rosas la alba frente 
del hada de tu sueño adamantino? 

Respondí a la mañana: 
Sólo tienen cristal los sueños míos. 
Yo no conozco el hada de mis sueños;
ni sé si está mi corazón florido. 

Pero si aguardas la mañana pura 
que ha de romper el vaso cristalino, 
quizás el hada te dará tus rosas, 
mi corazón tus lirios.",XXXIV,34,,,,,,,,,
50135,Antonio Machado,01-Soledades (1899-1907),Del camino,Al borde del sendero un día nos sentamos,,,"Al borde del sendero un día nos sentamos. 
Ya nuestra vida es tiempo, y nuestra sola cuita 
son las desesperantes posturas que tomamos 
para aguardar... Mas Ella no faltará a la cita.",XXXV,35,,,,,,,,,
50136,Antonio Machado,01-Soledades (1899-1907),Del camino,Es una forma juvenil que un día .,,,"Es una forma juvenil que un día 
a nuestra casa llega. 
Nosotros le decimos: —¿Por qué tornas 
a la morada vieja? 
Ella abre la ventana, y todo el campo 
en luz y aroma entra. 
En el blanco sendero, 
los troncos de los árboles negrean; 
las hojas de sus copas 
son humo verde que a lo lejos sueña. 
Parece una laguna 
el ancho río entre la blanca niebla 
de la mañana. Por los montes cárdenos 
camina otra quimera.",XXXVI,36,,,,,,,,,
50137,Antonio Machado,01-Soledades (1899-1907),Del camino,"¡Oh. dime. noche amiga, amada vieja",,,"¡Oh, dime, noche amiga, amada vieja, 
que me traes el retablo de mis sueños 
siempre desierto y desolado, y sólo 
con mi fantasma dentro, 
mi pobre sombra triste 
sobre la estepa y bajo el sol de fuego, 
o soñando amarguras 
en las voces de todos los misterios, 
dime, si sabes, vieja amada, dime 
si son mías las lágrimas que vierto!
Me respondió la noche: 
—Jamás me revelaste tu secreto. 
Yo nunca supe, amado, 
si eras tú ese fantasma de tu sueño, 
ni averigüé si era su voz la tuya 
o era la voz de un histrión grotesco. 

Dije a la noche: Amada mentirosa, 
tú sabes mi secreto; 
tú has visto la honda gruta 
donde fabrica su cristal mi sueño, 
y sabes que mis lágrimas son mías, 
y sabes mi dolor, mi dolor viejo. 

¡Oh! Yo no sé,dijo la noche, amado, 
yo no sé tu secreto, 
aunque he visto vagar ese, que dices 
desolado fantasma por tu sueño. 
Yo me asomo a las almas cuando lloran 
y escucho su hondo rezo, 
humilde y solitario, 
ese que llamas el salmo verdadero; 
pero en las hondas bóvedas del alma 
no sé si el llanto es una voz o un eco. 

Para escuchar tu queja de tus labios 
yo te busqué en tu sueño, 
y allí te vi vagando en un borroso 
laberinto de espejos.",XXXVII,37,,,,,,,,,
